"","Precipitation","Month","Year"
"ppt199605bi",65.93000031,5,1996
"ppt199606bi",2.619999886,6,1996
"ppt199607bi",18.43000031,7,1996
"ppt199608bi",8.260000229,8,1996
"ppt199609bi",3.710000038,9,1996
"ppt199610bi",87.91999817,10,1996
"ppt199611bi",88.98999786,11,1996
"ppt199612bi",157.9400024,12,1996
"ppt199701bi",220.2100067,1,1997
"ppt199702bi",13.96000004,2,1997
"ppt199703bi",0,3,1997
"ppt199704bi",21.54000092,4,1997
"ppt199705bi",11.14999962,5,1997
"ppt199706bi",42.61000061,6,1997
"ppt199707bi",30,7,1997
"ppt199708bi",1.99000001,8,1997
"ppt199709bi",17.60000038,9,1997
"ppt199710bi",7.429999828,10,1997
"ppt199711bi",37.25,11,1997
"ppt199712bi",58.91999817,12,1997
"ppt199801bi",55.29000092,1,1998
"ppt199802bi",252.8399963,2,1998
"ppt199803bi",80.63999939,3,1998
"ppt199804bi",14,4,1998
"ppt199805bi",49.50999832,5,1998
"ppt199806bi",72.0699997,6,1998
"ppt199807bi",36.43000031,7,1998
"ppt199808bi",3.619999886,8,1998
"ppt199809bi",32.81000137,9,1998
"ppt199810bi",13.22999954,10,1998
"ppt199811bi",16.57999992,11,1998
"ppt199812bi",9.609999657,12,1998
"ppt199901bi",93.25,1,1999
"ppt199902bi",77.22000122,2,1999
"ppt199903bi",13.18000031,3,1999
"ppt199904bi",102.0999985,4,1999
"ppt199905bi",50.24000168,5,1999
"ppt199906bi",4.340000153,6,1999
"ppt199907bi",29.61000061,7,1999
"ppt199908bi",6.940000057,8,1999
"ppt199909bi",31.27000046,9,1999
"ppt199910bi",8.729999542,10,1999
"ppt199911bi",8.220000267,11,1999
"ppt199912bi",0,12,1999
"ppt200001bi",96.12000275,1,2000
"ppt200002bi",80.61000061,2,2000
"ppt200003bi",23.37000084,3,2000
"ppt200004bi",28.36000061,4,2000
"ppt200005bi",2.019999981,5,2000
"ppt200006bi",1.759999991,6,2000
"ppt200007bi",0,7,2000
"ppt200008bi",52.68999863,8,2000
"ppt200009bi",0,9,2000
"ppt200010bi",36.77000046,10,2000
"ppt200011bi",3.390000105,11,2000
"ppt200012bi",3.200000048,12,2000
"ppt200101bi",82.59999847,1,2001
"ppt200102bi",95.26999664,2,2001
"ppt200103bi",95.43000031,3,2001
"ppt200104bi",87.72000122,4,2001
"ppt200105bi",4.070000172,5,2001
"ppt200106bi",0,6,2001
"ppt200107bi",46.38999939,7,2001
"ppt200108bi",9.010000229,8,2001
"ppt200109bi",21.46999931,9,2001
"ppt200110bi",24.63999939,10,2001
"ppt200111bi",42.47999954,11,2001
"ppt200112bi",98.58000183,12,2001
"ppt200201bi",24.75,1,2002
"ppt200202bi",7.28000021,2,2002
"ppt200203bi",42.72999954,3,2002
"ppt200204bi",34.58000183,4,2002
"ppt200205bi",11.57999992,5,2002
"ppt200206bi",10.77000046,6,2002
"ppt200207bi",10.36999989,7,2002
"ppt200208bi",0,8,2002
"ppt200209bi",9.5,9,2002
"ppt200210bi",8.460000038,10,2002
"ppt200211bi",90.70999908,11,2002
"ppt200212bi",105.3899994,12,2002
"ppt200301bi",22.70000076,1,2003
"ppt200302bi",49.29000092,2,2003
"ppt200303bi",46.15000153,3,2003
"ppt200304bi",52.08000183,4,2003
"ppt200305bi",29.17000008,5,2003
"ppt200306bi",0,6,2003
"ppt200307bi",25.39999962,7,2003
"ppt200308bi",39.54000092,8,2003
"ppt200309bi",4.460000038,9,2003
"ppt200310bi",5.559999943,10,2003
"ppt200311bi",27.77000046,11,2003
"ppt200312bi",48.04999924,12,2003
"ppt200401bi",44.16999817,1,2004
"ppt200402bi",89.94000244,2,2004
"ppt200403bi",16.18000031,3,2004
"ppt200404bi",18.93000031,4,2004
"ppt200405bi",16,5,2004
"ppt200406bi",4.940000057,6,2004
"ppt200407bi",6,7,2004
"ppt200408bi",37.84999847,8,2004
"ppt200409bi",0,9,2004
"ppt200410bi",98.12999725,10,2004
"ppt200411bi",59.40000153,11,2004
"ppt200412bi",101.5899963,12,2004
"ppt200501bi",194.8399963,1,2005
"ppt200502bi",78.76999664,2,2005
"ppt200503bi",103.25,3,2005
"ppt200504bi",36.72000122,4,2005
"ppt200505bi",33.84000015,5,2005
"ppt200506bi",4.199999809,6,2005
"ppt200507bi",14.43000031,7,2005
"ppt200508bi",15.73999977,8,2005
"ppt200509bi",11.19999981,9,2005
"ppt200510bi",21.04000092,10,2005
"ppt200511bi",7.269999981,11,2005
"ppt200512bi",182,12,2005
"ppt200601bi",148.1900024,1,2006
"ppt200602bi",46.75999832,2,2006
"ppt200603bi",104.3899994,3,2006
"ppt200604bi",114.7799988,4,2006
"ppt200605bi",39.83000183,5,2006
"ppt200606bi",7.480000019,6,2006
"ppt200607bi",26.05999947,7,2006
"ppt200608bi",0,8,2006
"ppt200609bi",1.059999943,9,2006
"ppt200610bi",30.94000053,10,2006
"ppt200611bi",7.119999886,11,2006
"ppt200612bi",45.90999985,12,2006
"ppt200701bi",17.20999908,1,2007
"ppt200702bi",69.02999878,2,2007
"ppt200703bi",12.75,3,2007
"ppt200704bi",35.47999954,4,2007
"ppt200705bi",1.159999967,5,2007
"ppt200706bi",0,6,2007
"ppt200707bi",20.84000015,7,2007
"ppt200708bi",39.95999908,8,2007
"ppt200709bi",32.99000168,9,2007
"ppt200710bi",14.5,10,2007
"ppt200711bi",5.570000172,11,2007
"ppt200712bi",60.52999878,12,2007
"ppt200801bi",206.4199982,1,2008
"ppt200802bi",77.16999817,2,2008
"ppt200803bi",11.07999992,3,2008
"ppt200804bi",0,4,2008
"ppt200805bi",25.71999931,5,2008
"ppt200806bi",0,6,2008
"ppt200807bi",15.92000008,7,2008
"ppt200808bi",4.460000038,8,2008
"ppt200809bi",2.769999981,9,2008
"ppt200810bi",16.82999992,10,2008
"ppt200811bi",30.57999992,11,2008
"ppt200812bi",65.0699997,12,2008
"ppt200901bi",37.97000122,1,2009
"ppt200902bi",84.76000214,2,2009
"ppt200903bi",97.26999664,3,2009
"ppt200904bi",17.19000053,4,2009
"ppt200905bi",19.87999916,5,2009
"ppt200906bi",19.29999924,6,2009
"ppt200907bi",6.320000172,7,2009
"ppt200908bi",8.029999733,8,2009
"ppt200909bi",2.220000029,9,2009
"ppt200910bi",76.12000275,10,2009
"ppt200911bi",6.309999943,11,2009
"ppt200912bi",65.59999847,12,2009
"ppt201001bi",113.2799988,1,2010
"ppt201002bi",89.25,2,2010
"ppt201003bi",43.27000046,3,2010
"ppt201004bi",126.7699966,4,2010
"ppt201005bi",13.88000011,5,2010
"ppt201006bi",0,6,2010
"ppt201007bi",12.22999954,7,2010
"ppt201008bi",1.259999991,8,2010
"ppt201009bi",0,9,2010
"ppt201010bi",57.22999954,10,2010
"ppt201011bi",24.61000061,11,2010
"ppt201012bi",262.1799927,12,2010
"ppt201101bi",11.44999981,1,2011
"ppt201102bi",77,2,2011
"ppt201103bi",133.8699951,3,2011
"ppt201104bi",25.38999939,4,2011
"ppt201105bi",17.54999924,5,2011
"ppt201106bi",11.32999992,6,2011
"ppt201107bi",5.849999905,7,2011
"ppt201108bi",4.53000021,8,2011
"ppt201109bi",14,9,2011
"ppt201110bi",38.50999832,10,2011
"ppt201111bi",8.130000114,11,2011
"ppt201112bi",0,12,2011
"ppt201201bi",103.4400024,1,2012
"ppt201202bi",6.070000172,2,2012
"ppt201203bi",22,3,2012
"ppt201204bi",37.70999908,4,2012
"ppt201205bi",7.699999809,5,2012
"ppt201206bi",0.769999981,6,2012
"ppt201207bi",26.35000038,7,2012
"ppt201208bi",31.34000015,8,2012
"ppt201209bi",15.43000031,9,2012
"ppt201210bi",23.36000061,10,2012
"ppt201211bi",13.60999966,11,2012
"ppt201212bi",138.0399933,12,2012
"ppt201301bi",9.479999542,1,2013
"ppt201302bi",6.190000057,2,2013
"ppt201303bi",4.539999962,3,2013
"ppt201304bi",23.98999977,4,2013
"ppt201305bi",20.96999931,5,2013
"ppt201306bi",0,6,2013
"ppt201307bi",25.28000069,7,2013
"ppt201308bi",3.849999905,8,2013
"ppt201309bi",29.3199997,9,2013
"ppt201310bi",16.46999931,10,2013
"ppt201311bi",9.960000038,11,2013
"ppt201312bi",10,12,2013
"ppt201401bi",34.38000107,1,2014
"ppt201402bi",56.61000061,2,2014
"ppt201403bi",62.22000122,3,2014
"ppt201404bi",26.75,4,2014
"ppt201405bi",29.71999931,5,2014
"ppt201406bi",3.220000029,6,2014
"ppt201407bi",32.11999893,7,2014
"ppt201408bi",27.70999908,8,2014
"ppt201409bi",39.47999954,9,2014
