"","Temperature","Month","Year"
"tmean201002",-8.11000061,2,2010
"tmean201003",-7.230000019,3,2010
"tmean201004",-7.539999962,4,2010
"tmean201005",-4.264999867,5,2010
"tmean201006",6.680000305,6,2010
"tmean201007",11.63000011,7,2010
"tmean201008",9.524999619,8,2010
"tmean201009",6.144999981,9,2010
"tmean201010",0.384999991,10,2010
"tmean201011",-5.164999962,11,2010
"tmean201012",-5.819999695,12,2010
"tmean201101",-5.430000305,1,2011
"tmean201102",-9.199999809,2,2011
"tmean201103",-7.585000038,3,2011
"tmean201104",-5.039999962,4,2011
"tmean201105",-3.730000019,5,2011
"tmean201106",5.329999924,6,2011
"tmean201107",9.894999504,7,2011
"tmean201108",10.67000008,8,2011
"tmean201109",6.664999962,9,2011
"tmean201110",1.625,10,2011
"tmean201111",-4.590000153,11,2011
"tmean201112",-6.380000114,12,2011
"tmean201201",-3.960000038,1,2012
"tmean201202",-7.164999962,2,2012
"tmean201203",-6.894999981,3,2012
"tmean201204",-4.009999752,4,2012
"tmean201205",1.184999943,5,2012
"tmean201206",7.765000343,6,2012
"tmean201207",10.51499939,7,2012
"tmean201208",11.81499958,8,2012
"tmean201209",7.320000172,9,2012
"tmean201210",1.515000105,10,2012
"tmean201211",-2.829999924,11,2012
"tmean201212",-8.625,12,2012
"tmean201301",-8.539999962,1,2013
"tmean201302",-8.770000458,2,2013
"tmean201303",-4.704999924,3,2013
"tmean201304",-2.925000191,4,2013
"tmean201305",0.170000076,5,2013
"tmean201306",9.024999619,6,2013
"tmean201307",12.03999996,7,2013
"tmean201308",9.590000153,8,2013
"tmean201309",5.545000076,9,2013
"tmean201310",-0.995000124,10,2013
"tmean201311",-2.945000172,11,2013
"tmean201312",-6.025000095,12,2013
"tmean201401",-3.054999828,1,2014
"tmean201402",-6.400000095,2,2014
"tmean201403",-5.635000229,3,2014
"tmean201404",-3.430000067,4,2014
"tmean201405",0.194999933,5,2014
"tmean201406",8.694999695,6,2014
"tmean201407",11.86499977,7,2014
"tmean201408",9.114999771,8,2014
"tmean201409",6.675000191,9,2014
"tmean201410",3.144999981,10,2014
"tmean201411",-1.780000091,11,2014
"tmean201412",-6.599999905,12,2014
"tmean201501",-3.980000019,1,2015
"tmean201502",-2.934999943,2,2015
"tmean201503",-3.419999838,3,2015
"tmean201504",-4.360000134,4,2015
"tmean201505",-1.805000067,5,2015
"tmean201506",9.400000572,6,2015
"tmean201507",9.065000534,7,2015
"tmean201508",10.80900097,8,2015
"tmean201509",7.039000511,9,2015
"tmean201510",1.849000096,10,2015
"tmean201511",-5.734000206,11,2015
"tmean201512",-8.680000305,12,2015
