,Precipitation,Source,Year
usppt1938141,586.35,PRISM White Mountain 3200m,1938
usppt1939141,306.08,PRISM White Mountain 3200m,1939
usppt1940141,347.13,PRISM White Mountain 3200m,1940
usppt1941141,548.03,PRISM White Mountain 3200m,1941
usppt1942141,241.19,PRISM White Mountain 3200m,1942
usppt1943141,376.91,PRISM White Mountain 3200m,1943
usppt1944141,262.28,PRISM White Mountain 3200m,1944
usppt1945141,579.93,PRISM White Mountain 3200m,1945
usppt1946141,413.69,PRISM White Mountain 3200m,1946
usppt1947141,196.2,PRISM White Mountain 3200m,1947
usppt1948141,272.99,PRISM White Mountain 3200m,1948
usppt1949141,295.02,PRISM White Mountain 3200m,1949
usppt1950141,280.09,PRISM White Mountain 3200m,1950
usppt1951141,282.47,PRISM White Mountain 3200m,1951
usppt1952141,346.38,PRISM White Mountain 3200m,1952
usppt1953141,153.83,PRISM White Mountain 3200m,1953
usppt1954141,316.72,PRISM White Mountain 3200m,1954
usppt1955141,381.01,PRISM White Mountain 3200m,1955
usppt1956141,328.38,PRISM White Mountain 3200m,1956
usppt1957141,343.54,PRISM White Mountain 3200m,1957
usppt1958141,315.27,PRISM White Mountain 3200m,1958
usppt1959141,250.77,PRISM White Mountain 3200m,1959
usppt1960141,239.86,PRISM White Mountain 3200m,1960
usppt1961141,206.06,PRISM White Mountain 3200m,1961
usppt1962141,419.59,PRISM White Mountain 3200m,1962
usppt1963141,430.62,PRISM White Mountain 3200m,1963
usppt1964141,326.23,PRISM White Mountain 3200m,1964
usppt1965141,439.42,PRISM White Mountain 3200m,1965
usppt1966141,323.4,PRISM White Mountain 3200m,1966
usppt1967141,505.63,PRISM White Mountain 3200m,1967
usppt1968141,220.78,PRISM White Mountain 3200m,1968
usppt1969141,538.56,PRISM White Mountain 3200m,1969
usppt1970141,277.2,PRISM White Mountain 3200m,1970
usppt1971141,381.9,PRISM White Mountain 3200m,1971
usppt1972141,228.54,PRISM White Mountain 3200m,1972
usppt1973141,312.52,PRISM White Mountain 3200m,1973
usppt1974141,377.29,PRISM White Mountain 3200m,1974
usppt1975141,291.24,PRISM White Mountain 3200m,1975
usppt1976141,272.31,PRISM White Mountain 3200m,1976
usppt1977141,343.84,PRISM White Mountain 3200m,1977
usppt1978141,490.33,PRISM White Mountain 3200m,1978
usppt1979141,308.51,PRISM White Mountain 3200m,1979
usppt1980141,412.07,PRISM White Mountain 3200m,1980
usppt1981141,358.36,PRISM White Mountain 3200m,1981
usppt1982141,646.99,PRISM White Mountain 3200m,1982
usppt1983141,609.48,PRISM White Mountain 3200m,1983
usppt1984141,444.85,PRISM White Mountain 3200m,1984
usppt1985141,301.15,PRISM White Mountain 3200m,1985
usppt1986141,379.01,PRISM White Mountain 3200m,1986
usppt1987141,340.91,PRISM White Mountain 3200m,1987
usppt1988141,308.71,PRISM White Mountain 3200m,1988
usppt1989141,258.58,PRISM White Mountain 3200m,1989
usppt1990141,266,PRISM White Mountain 3200m,1990
usppt1991141,419.31,PRISM White Mountain 3200m,1991
usppt1992141,342.51,PRISM White Mountain 3200m,1992
usppt1993141,272.98,PRISM White Mountain 3200m,1993
usppt1994141,303.23,PRISM White Mountain 3200m,1994
usppt1995141,556.44,PRISM White Mountain 3200m,1995
usppt1996141,516.01,PRISM White Mountain 3200m,1996
usppt1997141,297.54,PRISM White Mountain 3200m,1997
usppt1998141,447.79,PRISM White Mountain 3200m,1998
usppt1999141,308.69,PRISM White Mountain 3200m,1999
usppt2000141,290.94,PRISM White Mountain 3200m,2000
usppt2001141,422.28,PRISM White Mountain 3200m,2001
usppt2002141,234.48,PRISM White Mountain 3200m,2002
usppt2003141,323.43,PRISM White Mountain 3200m,2003
usppt2004141,382.48,PRISM White Mountain 3200m,2004
usppt2005141,464.19,PRISM White Mountain 3200m,2005
usppt2006141,386.78,PRISM White Mountain 3200m,2006
usppt2007141,199.16,PRISM White Mountain 3200m,2007
usppt2008141,285.44,PRISM White Mountain 3200m,2008
usppt2009141,286.32,PRISM White Mountain 3200m,2009
usppt2010141,514.25,PRISM White Mountain 3200m,2010
usppt2011141,244.1,PRISM White Mountain 3200m,2011
usppt1895142,293.84,PRISM White Mountain 3500m,1895
usppt1896142,368.59,PRISM White Mountain 3500m,1896
usppt1897142,469.56,PRISM White Mountain 3500m,1897
usppt1898142,330.47,PRISM White Mountain 3500m,1898
usppt1899142,395.48,PRISM White Mountain 3500m,1899
usppt1900142,255.9,PRISM White Mountain 3500m,1900
usppt1901142,366.93,PRISM White Mountain 3500m,1901
usppt1902142,317.52,PRISM White Mountain 3500m,1902
usppt1903142,349.1,PRISM White Mountain 3500m,1903
usppt1904142,379.88,PRISM White Mountain 3500m,1904
usppt1905142,376.38,PRISM White Mountain 3500m,1905
usppt1906142,684.74,PRISM White Mountain 3500m,1906
usppt1907142,592.36,PRISM White Mountain 3500m,1907
usppt1908142,390.64,PRISM White Mountain 3500m,1908
usppt1909142,512.24,PRISM White Mountain 3500m,1909
usppt1910142,255.5,PRISM White Mountain 3500m,1910
usppt1911142,365.78,PRISM White Mountain 3500m,1911
usppt1912142,404.2,PRISM White Mountain 3500m,1912
usppt1913142,459.48,PRISM White Mountain 3500m,1913
usppt1914142,430.07,PRISM White Mountain 3500m,1914
usppt1915142,362.3,PRISM White Mountain 3500m,1915
usppt1916142,449.83,PRISM White Mountain 3500m,1916
usppt1917142,361.21,PRISM White Mountain 3500m,1917
usppt1918142,459.99,PRISM White Mountain 3500m,1918
usppt1919142,283.14,PRISM White Mountain 3500m,1919
usppt1920142,472.39,PRISM White Mountain 3500m,1920
usppt1921142,418.27,PRISM White Mountain 3500m,1921
usppt1922142,476.28,PRISM White Mountain 3500m,1922
usppt1923142,427.8,PRISM White Mountain 3500m,1923
usppt1924142,274.13,PRISM White Mountain 3500m,1924
usppt1925142,381.82,PRISM White Mountain 3500m,1925
usppt1926142,410.21,PRISM White Mountain 3500m,1926
usppt1927142,414.77,PRISM White Mountain 3500m,1927
usppt1928142,266.65,PRISM White Mountain 3500m,1928
usppt1929142,314.8,PRISM White Mountain 3500m,1929
usppt1930142,391.38,PRISM White Mountain 3500m,1930
usppt1931142,474.22,PRISM White Mountain 3500m,1931
usppt1932142,322.17,PRISM White Mountain 3500m,1932
usppt1933142,388.02,PRISM White Mountain 3500m,1933
usppt1934142,266.26,PRISM White Mountain 3500m,1934
usppt1935142,485.52,PRISM White Mountain 3500m,1935
usppt1936142,551.16,PRISM White Mountain 3500m,1936
usppt1937142,475.54,PRISM White Mountain 3500m,1937
usppt1938142,578.05,PRISM White Mountain 3500m,1938
usppt1939142,312.22,PRISM White Mountain 3500m,1939
usppt1940142,416.98,PRISM White Mountain 3500m,1940
usppt1941142,654.17,PRISM White Mountain 3500m,1941
usppt1942142,273.04,PRISM White Mountain 3500m,1942
usppt1943142,421.56,PRISM White Mountain 3500m,1943
usppt1944142,309.09,PRISM White Mountain 3500m,1944
usppt1945142,646.35,PRISM White Mountain 3500m,1945
usppt1946142,451.25,PRISM White Mountain 3500m,1946
usppt1947142,212,PRISM White Mountain 3500m,1947
usppt1948142,309.37,PRISM White Mountain 3500m,1948
usppt1949142,319.7,PRISM White Mountain 3500m,1949
usppt1950142,346.5,PRISM White Mountain 3500m,1950
usppt1951142,323.24,PRISM White Mountain 3500m,1951
usppt1952142,349.53,PRISM White Mountain 3500m,1952
usppt1953142,176.34,PRISM White Mountain 3500m,1953
usppt1954142,348.42,PRISM White Mountain 3500m,1954
usppt1955142,415.88,PRISM White Mountain 3500m,1955
usppt1956142,389.04,PRISM White Mountain 3500m,1956
usppt1957142,378.36,PRISM White Mountain 3500m,1957
usppt1958142,317.46,PRISM White Mountain 3500m,1958
usppt1959142,278.06,PRISM White Mountain 3500m,1959
usppt1960142,252.32,PRISM White Mountain 3500m,1960
usppt1961142,236.22,PRISM White Mountain 3500m,1961
usppt1962142,462.71,PRISM White Mountain 3500m,1962
usppt1963142,463.57,PRISM White Mountain 3500m,1963
usppt1964142,392.78,PRISM White Mountain 3500m,1964
usppt1965142,527.61,PRISM White Mountain 3500m,1965
usppt1966142,367.26,PRISM White Mountain 3500m,1966
usppt1967142,549.75,PRISM White Mountain 3500m,1967
usppt1968142,278.98,PRISM White Mountain 3500m,1968
usppt1969142,579.44,PRISM White Mountain 3500m,1969
usppt1970142,277.9,PRISM White Mountain 3500m,1970
usppt1971142,500.73,PRISM White Mountain 3500m,1971
usppt1972142,337.41,PRISM White Mountain 3500m,1972
usppt1973142,381.57,PRISM White Mountain 3500m,1973
usppt1974142,383.44,PRISM White Mountain 3500m,1974
usppt1975142,278.24,PRISM White Mountain 3500m,1975
usppt1976142,307.4,PRISM White Mountain 3500m,1976
usppt1977142,353.75,PRISM White Mountain 3500m,1977
usppt1978142,534.73,PRISM White Mountain 3500m,1978
usppt1979142,326.76,PRISM White Mountain 3500m,1979
usppt1980142,445.4,PRISM White Mountain 3500m,1980
usppt1981142,398.46,PRISM White Mountain 3500m,1981
usppt1982142,653.65,PRISM White Mountain 3500m,1982
usppt1983142,676.44,PRISM White Mountain 3500m,1983
usppt1984142,461.72,PRISM White Mountain 3500m,1984
usppt1985142,356.35,PRISM White Mountain 3500m,1985
usppt1986142,379.52,PRISM White Mountain 3500m,1986
usppt1987142,405.96,PRISM White Mountain 3500m,1987
usppt1988142,376.26,PRISM White Mountain 3500m,1988
usppt1989142,280.49,PRISM White Mountain 3500m,1989
usppt1990142,306.22,PRISM White Mountain 3500m,1990
usppt1991142,491,PRISM White Mountain 3500m,1991
usppt1992142,363.38,PRISM White Mountain 3500m,1992
usppt1993142,314.23,PRISM White Mountain 3500m,1993
usppt1994142,391.75,PRISM White Mountain 3500m,1994
usppt1995142,635.45,PRISM White Mountain 3500m,1995
usppt1996142,577.24,PRISM White Mountain 3500m,1996
usppt1997142,351.53,PRISM White Mountain 3500m,1997
usppt1998142,523.86,PRISM White Mountain 3500m,1998
usppt1999142,326.41,PRISM White Mountain 3500m,1999
usppt2000142,321.67,PRISM White Mountain 3500m,2000
usppt2001142,443.94,PRISM White Mountain 3500m,2001
usppt2002142,272.35,PRISM White Mountain 3500m,2002
usppt2003142,323.54,PRISM White Mountain 3500m,2003
usppt2004142,438.37,PRISM White Mountain 3500m,2004
usppt2005142,538.96,PRISM White Mountain 3500m,2005
usppt2006142,424.81,PRISM White Mountain 3500m,2006
usppt2007142,225.21,PRISM White Mountain 3500m,2007
usppt2008142,333.1,PRISM White Mountain 3500m,2008
usppt2009142,337.38,PRISM White Mountain 3500m,2009
usppt2010142,595.14,PRISM White Mountain 3500m,2010
usppt2011142,288.18,PRISM White Mountain 3500m,2011
2005,NA,Crooked Creek Weather Station Filled Missing Values (3200m),2005
2006,277.876,Crooked Creek Weather Station Filled Missing Values (3200m),2006
2007,159.766,Crooked Creek Weather Station Filled Missing Values (3200m),2007
2008,181.61,Crooked Creek Weather Station Filled Missing Values (3200m),2008
2009,173.228,Crooked Creek Weather Station Filled Missing Values (3200m),2009
2010,202.692,Crooked Creek Weather Station Filled Missing Values (3200m),2010
2011,179.832,Crooked Creek Weather Station Filled Missing Values (3200m),2011
2012,92.964,Crooked Creek Weather Station Filled Missing Values (3200m),2012
2013,0,Crooked Creek Weather Station Filled Missing Values (3200m),2013
2014,0,Crooked Creek Weather Station Filled Missing Values (3200m),2014
2015,75.692,Crooked Creek Weather Station Filled Missing Values (3200m),2015
2003,385.318,Barcroft Weather Station Filled Missing Values (3800m),2003
2004,139.954,Barcroft Weather Station Filled Missing Values (3800m),2004
20051,433.832,Barcroft Weather Station Filled Missing Values (3800m),2005
20061,NA,Barcroft Weather Station Filled Missing Values (3800m),2006
20071,NA,Barcroft Weather Station Filled Missing Values (3800m),2007
20081,713.994,Barcroft Weather Station Filled Missing Values (3800m),2008
20091,204.978,Barcroft Weather Station Filled Missing Values (3800m),2009
20101,138.938,Barcroft Weather Station Filled Missing Values (3800m),2010
20111,145.796,Barcroft Weather Station Filled Missing Values (3800m),2011
20121,123.952,Barcroft Weather Station Filled Missing Values (3800m),2012
20131,105.156,Barcroft Weather Station Filled Missing Values (3800m),2013
20141,127.254,Barcroft Weather Station Filled Missing Values (3800m),2014
20151,217.678,Barcroft Weather Station Filled Missing Values (3800m),2015
ppt2011bil,347.6099854,4k PRISM White Mountain 3200m,2011
ppt2012bil,425.8200073,4k PRISM White Mountain 3200m,2012
ppt2013bil,160.0500031,4k PRISM White Mountain 3200m,2013
ppt2014bil,349.8099976,4k PRISM White Mountain 3200m,2014
ppt2015bil,324.8990173,4k PRISM White Mountain 3200m,2015
ppt2011bil1,334.3299866,4k PRISM White Mountain 3500m,2011
ppt2012bil1,420.0700073,4k PRISM White Mountain 3500m,2012
ppt2013bil1,159.6600037,4k PRISM White Mountain 3500m,2013
ppt2014bil1,358.5700073,4k PRISM White Mountain 3500m,2014
ppt2015bil1,337.4790039,4k PRISM White Mountain 3500m,2015
ppt2011bil2,366.5200195,4k PRISM White Mountain 3800m,2011
ppt2012bil2,479.2200012,4k PRISM White Mountain 3800m,2012
ppt2013bil2,165.1199951,4k PRISM White Mountain 3800m,2013
ppt2014bil2,387.9200134,4k PRISM White Mountain 3800m,2014
ppt2015bil2,349.9290161,4k PRISM White Mountain 3800m,2015
ppt1962bil,418.7709961,4k PRISM White Mountain 3200m,1962
ppt1963bil,493.4370117,4k PRISM White Mountain 3200m,1963
ppt1964bil,451.3979797,4k PRISM White Mountain 3200m,1964
ppt1965bil,555.7639771,4k PRISM White Mountain 3200m,1965
ppt1966bil,329.6869812,4k PRISM White Mountain 3200m,1966
ppt1967bil,661.4559937,4k PRISM White Mountain 3200m,1967
ppt1968bil,233.2389984,4k PRISM White Mountain 3200m,1968
ppt1969bil,589.9000244,4k PRISM White Mountain 3200m,1969
ppt1970bil,301.0650024,4k PRISM White Mountain 3200m,1970
ppt1971bil,432.223999,4k PRISM White Mountain 3200m,1971
ppt1972bil,245.0169983,4k PRISM White Mountain 3200m,1972
ppt1973bil,460.006012,4k PRISM White Mountain 3200m,1973
ppt1974bil,347.0159912,4k PRISM White Mountain 3200m,1974
ppt1975bil,302.8120117,4k PRISM White Mountain 3200m,1975
ppt1976bil,276.6010132,4k PRISM White Mountain 3200m,1976
ppt1977bil,493.9389954,4k PRISM White Mountain 3200m,1977
ppt1978bil,668.7080078,4k PRISM White Mountain 3200m,1978
ppt1979bil,429.6719971,4k PRISM White Mountain 3200m,1979
ppt1980bil,586.1849976,4k PRISM White Mountain 3200m,1980
ppt1981bil,518.0299683,4k PRISM White Mountain 3200m,1981
ppt1982bil,930.7300415,4k PRISM White Mountain 3200m,1982
ppt1983bil,834.2700195,4k PRISM White Mountain 3200m,1983
ppt1984bil,497.2099915,4k PRISM White Mountain 3200m,1984
ppt1985bil,432.7900085,4k PRISM White Mountain 3200m,1985
ppt1986bil,586.5300293,4k PRISM White Mountain 3200m,1986
ppt1987bil,398.1099854,4k PRISM White Mountain 3200m,1987
ppt1988bil,384.4799805,4k PRISM White Mountain 3200m,1988
ppt1989bil,293.4299927,4k PRISM White Mountain 3200m,1989
ppt1990bil,338.4100037,4k PRISM White Mountain 3200m,1990
ppt1991bil,531.6099854,4k PRISM White Mountain 3200m,1991
ppt1992bil,423.2799988,4k PRISM White Mountain 3200m,1992
ppt1993bil,441.6100159,4k PRISM White Mountain 3200m,1993
ppt1994bil,439.9500122,4k PRISM White Mountain 3200m,1994
ppt1995bil,786.1400147,4k PRISM White Mountain 3200m,1995
ppt1996bil,887.1699829,4k PRISM White Mountain 3200m,1996
ppt1997bil,462.6600037,4k PRISM White Mountain 3200m,1997
ppt1998bil,636.6300049,4k PRISM White Mountain 3200m,1998
ppt1999bil,425.1000061,4k PRISM White Mountain 3200m,1999
ppt2000bil,328.2900085,4k PRISM White Mountain 3200m,2000
ppt2001bil,607.6599731,4k PRISM White Mountain 3200m,2001
ppt2002bil,356.1199951,4k PRISM White Mountain 3200m,2002
ppt2003bil,350.1700134,4k PRISM White Mountain 3200m,2003
ppt2004bil,493.1300049,4k PRISM White Mountain 3200m,2004
ppt2005bil,703.2999878,4k PRISM White Mountain 3200m,2005
ppt2006bil,572.5200195,4k PRISM White Mountain 3200m,2006
ppt2007bil,310.019989,4k PRISM White Mountain 3200m,2007
ppt2008bil,456.019989,4k PRISM White Mountain 3200m,2008
ppt2009bil,440.9700012,4k PRISM White Mountain 3200m,2009
ppt2010bil,743.9599609,4k PRISM White Mountain 3200m,2010
ppt1962bil1,441.678009,4k PRISM White Mountain 3500m,1962
ppt1963bil1,493.4509888,4k PRISM White Mountain 3500m,1963
ppt1964bil1,452.4020081,4k PRISM White Mountain 3500m,1964
ppt1965bil1,518.6010132,4k PRISM White Mountain 3500m,1965
ppt1966bil1,333.3619995,4k PRISM White Mountain 3500m,1966
ppt1967bil1,681.5449829,4k PRISM White Mountain 3500m,1967
ppt1968bil1,265.1660156,4k PRISM White Mountain 3500m,1968
ppt1969bil1,582.2839966,4k PRISM White Mountain 3500m,1969
ppt1970bil1,298.29599,4k PRISM White Mountain 3500m,1970
ppt1971bil1,536.9849854,4k PRISM White Mountain 3500m,1971
ppt1972bil1,302.5939941,4k PRISM White Mountain 3500m,1972
ppt1973bil1,457.7749939,4k PRISM White Mountain 3500m,1973
ppt1974bil1,352.8769836,4k PRISM White Mountain 3500m,1974
ppt1975bil1,291.9119873,4k PRISM White Mountain 3500m,1975
ppt1976bil1,290.5650024,4k PRISM White Mountain 3500m,1976
ppt1977bil1,493.9450073,4k PRISM White Mountain 3500m,1977
ppt1978bil1,636.4879761,4k PRISM White Mountain 3500m,1978
ppt1979bil1,404.2770081,4k PRISM White Mountain 3500m,1979
ppt1980bil1,540.2819824,4k PRISM White Mountain 3500m,1980
ppt1981bil1,488.8599854,4k PRISM White Mountain 3500m,1981
ppt1982bil1,917.6499634,4k PRISM White Mountain 3500m,1982
ppt1983bil1,791.6400147,4k PRISM White Mountain 3500m,1983
ppt1984bil1,510.1300049,4k PRISM White Mountain 3500m,1984
ppt1985bil1,413.3099976,4k PRISM White Mountain 3500m,1985
ppt1986bil1,554.9799805,4k PRISM White Mountain 3500m,1986
ppt1987bil1,397.8399963,4k PRISM White Mountain 3500m,1987
ppt1988bil1,383.1699829,4k PRISM White Mountain 3500m,1988
ppt1989bil1,297.25,4k PRISM White Mountain 3500m,1989
ppt1990bil1,335.5299988,4k PRISM White Mountain 3500m,1990
ppt1991bil1,512.9699707,4k PRISM White Mountain 3500m,1991
ppt1992bil1,445.3899841,4k PRISM White Mountain 3500m,1992
ppt1993bil1,407.1400147,4k PRISM White Mountain 3500m,1993
ppt1994bil1,435.230011,4k PRISM White Mountain 3500m,1994
ppt1995bil1,753.1900024,4k PRISM White Mountain 3500m,1995
ppt1996bil1,847.6699829,4k PRISM White Mountain 3500m,1996
ppt1997bil1,452.6199951,4k PRISM White Mountain 3500m,1997
ppt1998bil1,629.6500244,4k PRISM White Mountain 3500m,1998
ppt1999bil1,424.980011,4k PRISM White Mountain 3500m,1999
ppt2000bil1,339.1100159,4k PRISM White Mountain 3500m,2000
